1	0
2	0.101071
3	0.0981884
4	0.0934164
5	0.0975
6	0.100332
7	0.0915891
8	0.0937875
9	0.105951
10	0.103137
11	0.0980132
12	0.0922411
13	0.104167
14	0.0769231
15	0.0780952
16	0.0864198
17	0.123452
18	0.103422
19	0.0868635
20	0.0922249
21	0.0825728
22	0.0978355
23	0.0822758
24	0.0887077
25	0.0895918
26	0.0982154
27	0.0837607
28	0.0876323
29	0.0796574
30	0.0880218
31	0.0904946
32	0.102285
33	0.0923822
34	0.107308
35	0.0882353
37	0.0683183
38	0.100996
39	0.0883941
40	0.024359
50	0.0893878
51	0.0470588
52	0.169683
53	0.0899855
54	0.0555556
55	0.0997755
56	0.0808442
57	0.0786341
58	0.0961887
59	0.0774985
60	0.0579661
61	0.0814497
62	0.0726247
63	0.0748137
64	0.0743488
65	0.0929457
66	0.0774559
67	0.0867933
68	0.090918
69	0.0761967
70	0.0774327
71	0.076727
72	0.076533
73	0.0662979
74	0.083881
75	0.0726967
76	0.0850526
77	0.0827689
78	0.0753532
79	0.0793918
80	0.072481
81	0.0659465
82	0.0788919
83	0.0744637
84	0.0608147
86	0.0740082
87	0.0892809
88	0.0666144
89	0.111083
90	0.0639617
91	0.0410256
92	0.0690397
93	0.0752688
94	0.0679478
101	0.0710891
164	0.0622586
167	0.0435195
169	0.0607918
172	0.0619475
173	0.0525608
176	0.0674675
177	0.0737662
179	0.0672274
180	0.0545313
181	0.064825
183	0.0632919
184	0.054229
185	0.0665687
188	0.0615542
189	0.0558933
190	0.0611597
191	0.0496241
192	0.0473386
193	0.0672226
195	0.055908
196	0.0552939
197	0.0598778
199	0.0561393
200	0.0562647
201	0.0627296
202	0.0572139
204	0.0539216
205	0.0548541
206	0.0597679
208	0.0700019
209	0.0480769
211	0.0538479
212	0.0553519
213	0.0540361
214	0.0541661
215	0.0439647
216	0.05
217	0.0446598
218	0.04807
219	0.0540405
491	0.0342473
494	0.0377892
501	0.0352625
502	0.0340599
504	0.0337893
521	0.0343127
528	0.0324529
543	0.0277605
1242	0.0145018
