1	22243
2	17385
3	14522
4	12545
5	11133
6	10171
7	9422
8	8750
9	8090
10	7432
11	6788
12	6220
13	5807
14	5485
15	5254
16	5117
17	5039
18	4966
19	4907
20	4847
21	4781
22	4702
23	4578
24	4443
25	4278
26	4088
27	3871
28	3619
29	3394
30	3166
31	2952
32	2784
33	2612
34	2459
35	2316
36	2211
37	2136
38	2078
39	2041
40	2012
41	1987
42	1972
43	1963
44	1957
45	1950
46	1947
47	1945
48	1943
49	1942
55	1941
58	1940
59	1939
60	1938
61	1935
62	1934
63	1930
64	1927
65	1919
66	1913
67	1906
68	1893
69	1885
70	1872
71	1844
72	1824
73	1802
74	1770
75	1727
76	1695
77	1653
78	1609
79	1552
80	1513
81	1446
82	1390
83	1329
84	1273
85	1226
86	1163
87	1109
88	1037
89	971
90	924
91	872
92	820
93	790
94	767
95	741
96	723
97	697
98	676
99	655
100	640
101	624
102	613
103	606
104	602
105	596
106	592
107	587
108	584
109	582
110	581
111	579
114	577
194	576
196	575
199	574
200	573
202	572
203	571
206	570
207	568
208	567
209	563
210	562
211	560
212	559
213	558
214	555
215	551
216	546
217	544
218	542
219	536
220	527
221	518
222	513
223	509
224	500
225	488
226	481
227	473
228	461
229	453
230	443
231	433
232	424
233	412
234	400
235	390
236	375
237	359
238	348
239	337
240	316
241	298
242	287
243	275
244	269
245	258
246	244
247	238
248	223
249	210
250	203
251	198
252	188
253	183
254	177
255	167
256	165
257	159
258	153
259	149
260	148
261	146
262	144
263	140
264	136
265	133
266	132
267	129
269	128
270	126
272	125
276	124
284	123
285	122
587	121
594	119
596	118
599	116
604	115
605	114
608	112
609	111
610	109
612	108
613	104
614	103
616	102
617	100
620	99
622	98
623	97
624	94
625	92
626	91
627	89
628	86
629	85
631	81
632	80
634	76
635	71
636	70
637	67
640	64
641	62
642	61
643	60
644	59
645	54
647	53
648	52
650	50
651	49
652	47
653	46
654	43
655	41
656	38
657	36
658	34
660	33
661	31
666	30
667	29
670	26
671	25
672	22
675	21
676	20
678	19
682	18
709	17
1507	16
1512	15
1532	14
1554	12
1568	11
1577	10
1578	9
1580	8
1584	7
1586	6
1588	5
1610	4
1611	3
1621	2
3487	1
