1	8760
2	6267
3	5049
4	4224
5	3585
6	3131
7	2767
8	2531
9	2379
10	2248
11	2110
12	1940
13	1773
14	1610
15	1456
16	1334
17	1214
18	1109
19	1043
20	993
21	968
22	942
23	931
24	924
25	918
26	912
27	907
28	903
29	898
30	893
31	876
32	859
33	843
34	818
35	789
36	758
37	720
38	685
39	630
40	597
41	558
42	519
43	480
44	443
45	420
46	396
47	373
48	348
49	331
50	322
51	310
52	303
53	290
54	284
55	282
56	280
57	277
58	276
59	275
87	274
88	273
90	272
92	269
93	267
94	266
95	265
96	262
97	261
98	257
99	255
100	251
101	246
102	241
103	233
104	229
105	220
106	214
107	208
108	200
109	192
110	179
111	173
112	161
113	155
114	151
115	141
116	130
117	121
118	115
119	111
120	105
121	102
122	93
123	87
124	82
125	80
126	76
127	72
128	66
129	64
130	61
132	59
134	58
135	57
137	56
138	55
142	54
271	53
279	52
280	51
281	49
286	48
287	47
288	45
289	44
291	43
292	42
295	41
296	40
297	39
298	38
299	35
301	34
304	33
305	32
306	31
307	30
309	28
312	27
313	24
314	22
315	18
316	17
319	16
321	15
322	14
323	13
325	12
329	11
332	10
335	9
336	8
346	7
731	6
736	5
748	4
753	3
756	2
1702	1
