1	9553
2	5952
3	4273
4	3409
5	2747
6	2291
7	1953
8	1708
9	1555
10	1437
11	1341
12	1263
13	1185
14	1086
15	995
16	897
17	806
18	719
19	639
20	579
21	529
22	487
23	461
24	445
25	433
26	428
27	424
28	423
29	419
32	417
33	415
34	411
35	403
36	394
37	383
38	376
39	365
40	347
41	334
42	321
43	307
44	291
45	265
46	235
47	218
48	204
49	192
50	171
51	162
52	140
53	133
54	118
55	109
56	101
57	93
58	91
59	90
60	87
63	84
106	83
110	82
113	81
114	80
115	79
116	77
117	76
118	75
119	73
120	72
121	71
122	68
123	66
125	65
126	61
127	58
128	55
129	53
130	52
131	50
132	49
133	48
134	45
135	44
136	42
137	35
138	34
139	30
140	27
141	24
143	19
144	17
146	15
148	14
149	11
160	10
324	9
337	8
357	7
360	6
366	4
369	3
380	2
931	1
